route,template,lang,viewport,width,height,overflow_px,console_errors,status
/blog/what-is-pereira-tech-talks,blog-post-banner,es,phablet,480,853,0,1,http_404
/en/blog/my-experience-at-digital-product-school,blog-post-banner,en,phablet,480,853,0,0,ok
/blog/my-experience-at-digital-product-school,blog-post-banner,es,phablet,480,853,0,0,ok
/en/blog/quarantine-tech-talks,blog-post-embeds,en,phablet,480,853,0,0,ok
/en/meetups,meetups-list,en,phablet,480,853,0,0,ok
/meetups,meetups-list,es,phablet,480,853,0,0,ok
/en/meetups/september-meetup-2026,meetup-detail-planned,en,phablet,480,853,0,0,ok
/meetups/september-meetup-2026,meetup-detail-planned,es,phablet,480,853,0,0,ok
/en/meetups/qa-pilar-del-software,meetup-detail-archive,en,phablet,480,853,0,0,ok
/meetups/qa-pilar-del-software,meetup-detail-archive,es,phablet,480,853,0,0,ok
/en/pereira-tech-day,ptd-landing,en,phablet,480,853,0,0,ok
/pereira-tech-day,ptd-landing,es,phablet,480,853,0,0,ok
/en/pereira-tech-days/2024,ptd-edition,en,phablet,480,853,0,0,ok
/pereira-tech-days/2024,ptd-edition,es,phablet,480,853,0,0,ok
/en/pereira-tech-days/2026,ptd-edition,en,phablet,480,853,0,0,ok
/en/speakers,speakers-list,en,phablet,480,853,0,0,ok
/speakers,speakers-list,es,phablet,480,853,0,0,ok
/verticals,verticals-list,es,phablet,480,853,0,0,ok
/en/slides,slides-catalog,en,phablet,480,853,0,0,ok
/slides,slides-catalog,es,phablet,480,853,0,0,ok
/en/blog/series,blog-series-listing,en,phablet,480,853,0,0,ok
/blog/series,blog-series-listing,es,phablet,480,853,0,0,ok
/en/certificates/verify,certificate-verify,en,phablet,480,853,0,0,ok
/certificates/verify,certificate-verify,es,phablet,480,853,0,0,ok
/en/,home,en,tablet-portrait,768,1024,0,0,ok
/,home,es,tablet-portrait,768,1024,0,0,ok
/en/about,narrative-about,en,tablet-portrait,768,1024,0,0,ok
/about,narrative-about,es,tablet-portrait,768,1024,0,0,ok
/en/community,narrative-community,en,tablet-portrait,768,1024,0,0,ok
/community,narrative-community,es,tablet-portrait,768,1024,0,0,ok
/en/conduct,narrative-conduct,en,tablet-portrait,768,1024,0,0,ok
/conduct,narrative-conduct,es,tablet-portrait,768,1024,0,0,ok
/en/contributing,narrative-contributing,en,tablet-portrait,768,1024,0,0,ok
/en/governance,narrative-governance,en,tablet-portrait,768,1024,0,0,ok
/en/contact,form-contact,en,tablet-portrait,768,1024,0,0,ok
/contact,form-contact,es,tablet-portrait,768,1024,0,0,ok
/en/call-for-speakers,form-call-for-speakers,en,tablet-portrait,768,1024,0,0,ok
/call-for-speakers,form-call-for-speakers,es,tablet-portrait,768,1024,0,0,ok
/en/sponsor-us,form-sponsor-us,en,tablet-portrait,768,1024,0,0,ok
/en/channels,channels,en,tablet-portrait,768,1024,0,0,ok
/en/press,press,en,tablet-portrait,768,1024,0,0,ok
/en/sponsors,sponsors,en,tablet-portrait,768,1024,0,0,ok
/en/contributors,contributors,en,tablet-portrait,768,1024,0,0,ok
/en/verticals,verticals-list,en,tablet-portrait,768,1024,0,0,ok
/en/verticals/speaker-school,verticals-detail,en,tablet-portrait,768,1024,0,0,ok
/en/verticals/library-of-tomorrow,verticals-detail,en,tablet-portrait,768,1024,0,0,ok
/en/verticals/ai-channel,verticals-detail,en,tablet-portrait,768,1024,0,0,ok
/en/blog,blog-listing,en,tablet-portrait,768,1024,0,0,ok
/blog,blog-listing,es,tablet-portrait,768,1024,0,0,ok
/en/blog/what-is-pereira-tech-talks,blog-post-banner,en,tablet-portrait,768,1024,0,1,http_404
/blog/what-is-pereira-tech-talks,blog-post-banner,es,tablet-portrait,768,1024,0,1,http_404
/en/blog/my-experience-at-digital-product-school,blog-post-banner,en,tablet-portrait,768,1024,0,0,ok
/blog/my-experience-at-digital-product-school,blog-post-banner,es,tablet-portrait,768,1024,0,0,ok
/en/blog/quarantine-tech-talks,blog-post-embeds,en,tablet-portrait,768,1024,0,0,ok
/en/meetups,meetups-list,en,tablet-portrait,768,1024,0,0,ok
/meetups,meetups-list,es,tablet-portrait,768,1024,0,0,ok
/en/meetups/september-meetup-2026,meetup-detail-planned,en,tablet-portrait,768,1024,0,0,ok
/meetups/september-meetup-2026,meetup-detail-planned,es,tablet-portrait,768,1024,0,0,ok
/en/meetups/qa-pilar-del-software,meetup-detail-archive,en,tablet-portrait,768,1024,0,0,ok
/meetups/qa-pilar-del-software,meetup-detail-archive,es,tablet-portrait,768,1024,0,0,ok
/en/pereira-tech-day,ptd-landing,en,tablet-portrait,768,1024,0,0,ok
/pereira-tech-day,ptd-landing,es,tablet-portrait,768,1024,0,0,ok
/en/pereira-tech-days/2024,ptd-edition,en,tablet-portrait,768,1024,0,0,ok
/pereira-tech-days/2024,ptd-edition,es,tablet-portrait,768,1024,0,0,ok
/en/pereira-tech-days/2026,ptd-edition,en,tablet-portrait,768,1024,0,0,ok
/en/speakers,speakers-list,en,tablet-portrait,768,1024,0,0,ok
/speakers,speakers-list,es,tablet-portrait,768,1024,0,0,ok
/verticals,verticals-list,es,tablet-portrait,768,1024,0,0,ok
/en/slides,slides-catalog,en,tablet-portrait,768,1024,0,0,ok
/slides,slides-catalog,es,tablet-portrait,768,1024,0,0,ok
/en/blog/series,blog-series-listing,en,tablet-portrait,768,1024,0,0,ok
/blog/series,blog-series-listing,es,tablet-portrait,768,1024,0,0,ok
/en/certificates/verify,certificate-verify,en,tablet-portrait,768,1024,0,0,ok
/certificates/verify,certificate-verify,es,tablet-portrait,768,1024,0,0,ok
/en/,home,en,tablet-landscape,1024,768,0,0,ok
/,home,es,tablet-landscape,1024,768,0,0,ok
/en/about,narrative-about,en,tablet-landscape,1024,768,0,0,ok
/about,narrative-about,es,tablet-landscape,1024,768,0,0,ok
/en/community,narrative-community,en,tablet-landscape,1024,768,0,0,ok
/community,narrative-community,es,tablet-landscape,1024,768,0,0,ok
/en/conduct,narrative-conduct,en,tablet-landscape,1024,768,0,0,ok
/conduct,narrative-conduct,es,tablet-landscape,1024,768,0,0,ok
/en/contributing,narrative-contributing,en,tablet-landscape,1024,768,0,0,ok
/en/governance,narrative-governance,en,tablet-landscape,1024,768,0,0,ok
/en/contact,form-contact,en,tablet-landscape,1024,768,0,0,ok
/contact,form-contact,es,tablet-landscape,1024,768,0,0,ok
/en/call-for-speakers,form-call-for-speakers,en,tablet-landscape,1024,768,0,0,ok
/call-for-speakers,form-call-for-speakers,es,tablet-landscape,1024,768,0,0,ok
/en/sponsor-us,form-sponsor-us,en,tablet-landscape,1024,768,0,0,ok
/en/channels,channels,en,tablet-landscape,1024,768,0,0,ok
/en/press,press,en,tablet-landscape,1024,768,0,0,ok
